date 	event
2016-01-01	ISIL fighters mount an attack on the newly recaptured Iraqi city of Ramadi using suicide bombers and VBIEDs. They are repelled by the Iraqi Army operating in conjunction with US-led Coalition air strikes.
2016-01-02	ISIL's Sinai Province claims responsibility for a rocket attack on the Israeli city of Sderot the preceding Friday.
2016-01-03	(1) ISIL releases a video showing the execution of five Syrian men who they allege were British spies. In the video, a masked, British-accented militant, believed to be Siddhartha Dhar, taunts UK Prime Minister David Cameron before shooting the "spies" in the head. The footage later features one of the group's English-speaking child soldiers.; (2) Camp Speicher, an Iraqi military base, is attacked by multiple ISIL suicide and car bombers, with a death toll of at least 15 Iraqi military and police personnel.
2016-01-04	The Libyan oil depot town of Sidra is attacked by ISIL car bombers. Two militiamen guarding the port are killed, and a large oil tank is destroyed.
2016-01-06	(1) Sky News releases pictures and videos shot inside an ISIL explosives research facility in Raqqa, the group's capital. The largely instructional media show militants recommissioning old heat-seeking missiles and experimenting with remote-controlled car bombs.; (2) In an online article, ISIL threatens to attack the Saudi Arabian prisons of al-Ha'ir and Tarfiya. The statement is believed to be in response to a mass execution of Islamist convicts the previous Saturday.
2016-01-07	(1) Parisian police shoot dead a cleaver-wielding man as he attempts to enter a police station; an ISIL emblem is later found on his person. The incident coincides with the 1st anniversary of the Charlie Hebdo shooting.; (2) The Iraqi military claims that ISIL spokesman Abu Mohammad al-Adnani was severely wounded in an airstrike several days before.; (3) ISIL truck bombs a police training center in the Libyan city of Zliten, killing at least 65 and wounding over 100. The group claims responsibility for the attack several days later.; (4) ISIL gunmen attack a busload of Israeli tourists in Giza, Egypt. No casualties are reported.
2016-01-08	(1) A Philadelphia, Pennsylvania man shoots and severely injures a policeman parked in a patrol car. Upon being arrested and questioned, he cites ISIL ideology as a motivation for his attack.; (2) US officials announce an overhaul of the nation's methods of countering ISIL propaganda. Efforts will be made to deliver localized messages more relevant to Muslim populations; English-language material will be discontinued. Additionally, a new counterterrorism task force based at the United States Department of Homeland Security is announced.; (3) A Raqqa-based ISIL fighter executes his mother in front of a large crowd. She reportedly disapproved of his allegiance to the group and urged him to leave, which prompted her arrest.; (4) A 24-year-old Palestinian American refugee is indicted on federal charges relating to ISIL. Prosecutors allege that he attempted to materially support the group, and also accuse him of lying about his affiliation during his naturalization.; (5) ISIL claims responsibility for the stabbing death of a Christian convert in Jhenaidah District, Bangladesh. Local police dispute elements of the group's claim.
2016-01-09	(1) Two militants believed to belong to ISIL's Sinai Province storm a hotel in the Egyptian resort town of Hurghada. They stab and injure two foreign tourists before being neutralized by police.; (2) ISIL's Sinai Province claims responsibility for the killing of two Cairo policemen earlier that day. Both attackers, one a 21-year-old student, are subsequently shot dead by additional police.
2016-01-10	(1) Three suspects in the murder of an anti-ISIL activist filmmaker are arrested in Gaziantep, Turkey.; (2) The Royal Air Force uses Brimstone missiles for the first time against Syrian ISIL targets.
2016-01-11	(1) ISIL claims responsibility for two bombings near a casino in the Iraqi city of Miqdadiyah.; (2) ISIL attacks a shopping center in a Shiite neighborhood of Baghdad with a car bomb and gunmen. 18 casualties were reported.; (3) A 15-year-old Turkish citizen attacks and injures a Jewish teacher with a machete in the French city of Marseille. Prosecutors allege that he stated his actions were committed "in the name of Allah and the Islamic State".
